Account Code,Actual,Fund,Department,Division,Function,Cost Center
435000,-96881,6500,21,950,95,0000
435100,0,6500,21,950,95,0000
435505,0,6500,21,950,95,0000
435507,0,6500,21,950,95,0000
435516,0,6500,21,950,95,0000
435521,0,6500,21,950,95,0000
436000,0,6500,21,950,95,0000
436505,0,6500,21,950,95,0000
437000,0,6500,21,950,95,0000
437100,-1800,6500,21,950,95,0000
450604,0,6500,21,950,95,0000
460000,0,6500,21,950,95,0000
483304,0,6500,21,950,95,0000
489000,0,6500,21,950,95,0000
499100,-5618,6500,21,950,95,0000
511001,23432,6500,21,950,95,0000
511003,1800,6500,21,950,95,0000
511004,0,6500,21,950,95,0000
511010,206,6500,21,950,95,0000
512001,267,6500,21,950,95,0000
512002,198,6500,21,950,95,0000
512005,145,6500,21,950,95,0000
512010,0,6500,21,950,95,0000
512011,0,6500,21,950,95,0000
512014,0,6500,21,950,95,0000
512024,5618,6500,21,950,95,0000
521001,1282,6500,21,950,95,0000
521002,-1500,6500,21,950,95,0000
521004,0,6500,21,950,95,0000
521005,1,6500,21,950,95,0000
521008,-3425,6500,21,950,95,0000
521009,0,6500,21,950,95,0000
523001,2916,6500,21,950,95,0000
523002,332,6500,21,950,95,0000
524001,2052,6500,21,950,95,0000
524009,100,6500,21,950,95,0000
524101,-699,6500,21,950,95,0000
525001,0,6500,21,950,95,0000
527102,0,6500,21,950,95,0000
528001,0,6500,21,950,95,0000
528005,20,6500,21,950,95,0000
528013,0,6500,21,950,95,0000
528301,12,6500,21,950,95,0000
528502,1500,6500,21,950,95,0000
528503,0,6500,21,950,95,0000
528504,0,6500,21,950,95,0000
528505,0,6500,21,950,95,0000
528999,0,6500,21,950,95,0000
571001,0,6500,21,950,95,0000
571004,0,6500,21,950,95,0000
573001,-880,6500,21,950,95,0000
574006,0,6500,21,950,95,0000
574008,0,6500,21,950,95,0000
614101,0,6500,21,950,95,0000
712101,0,6500,21,950,95,0000
435000,0,6500,21,950,95,9500
435507,0,6500,21,950,95,9500
435516,0,6500,21,950,95,9500
521001,0,6500,21,950,95,9500
524001,0,6500,21,950,95,9500
524003,0,6500,21,950,95,9500
524005,0,6500,21,950,95,9500
524006,0,6500,21,950,95,9500
528502,0,6500,21,950,95,9500
528505,0,6500,21,950,95,9500
498200,0,6500,21,950,99,0000
498201,0,6500,21,950,99,0000
498638,0,6500,21,950,99,0000
498641,0,6500,21,950,99,0000
800651,0,6500,21,950,99,0000
433100,0,6500,21,951,95,0000
435000,0,6500,21,951,95,0000
436000,0,6500,21,951,95,0000
442800,0,6500,21,951,95,0000
450600,0,6500,21,951,95,0000
450601,0,6500,21,951,95,0000
450602,0,6500,21,951,95,0000
450603,0,6500,21,951,95,0000
486000,0,6500,21,951,95,0000
489000,0,6500,21,951,95,0000
499101,-2527,6500,21,951,95,0000
521001,0,6500,21,951,95,0000
521002,0,6500,21,951,95,0000
521004,0,6500,21,951,95,0000
521006,0,6500,21,951,95,0000
521014,44815,6500,21,951,95,0000
521015,-44815,6500,21,951,95,0000
522002,0,6500,21,951,95,0000
522003,0,6500,21,951,95,0000
523001,0,6500,21,951,95,0000
523002,0,6500,21,951,95,0000
524001,0,6500,21,951,95,0000
524003,0,6500,21,951,95,0000
524005,0,6500,21,951,95,0000
524006,0,6500,21,951,95,0000
524009,0,6500,21,951,95,0000
524101,0,6500,21,951,95,0000
528001,0,6500,21,951,95,0000
528502,0,6500,21,951,95,0000
528508,0,6500,21,951,95,0000
528522,0,6500,21,951,95,0000
571001,0,6500,21,951,95,0000
571002,0,6500,21,951,95,0000
571999,0,6500,21,951,95,0000
581091,0,6500,21,951,95,0000
614101,0,6500,21,951,95,0000
498100,0,6500,21,951,99,0000
498101,0,6500,21,951,99,0000
498401,0,6500,21,951,99,0000
498620,0,6500,21,951,99,0000
498633,0,6500,21,951,99,0000
498638,0,6500,21,951,99,0000
486100,0,6500,21,999,95,0000
499910,0,6500,21,999,95,0000
511001,0,6500,21,999,95,0000
512001,0,6500,21,999,95,0000
512002,0,6500,21,999,95,0000
512005,0,6500,21,999,95,0000
512019,0,6500,21,999,95,0000
512024,0,6500,21,999,95,0000
581091,0,6500,21,999,95,0000
612101,0,6500,21,999,95,0000
614101,0,6500,21,999,95,0000
616101,0,6500,21,999,95,0000
800910,0,6500,21,999,95,0000
